sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
8468,"John Hambrick",John,C.,Hambrick,,,2,R,1,Rep,HD-002
8469,"Joseph Hardy",Joseph,,Hardy,,Joe,2,R,2,Sen,SD-012
8470,"James Settelmeyer",James,Arnold,Settelmeyer,,,2,R,2,Sen,SD-017
8471,"Melissa Woodbury",Melissa,,Woodbury,,,2,R,1,Rep,HD-023
8472,"Lynn Stewart",Lynn,,Stewart,,,2,R,1,Rep,HD-022
8474,"Mark Manendo",Mark,,Manendo,,,1,D,2,Sen,SD-021
8500,"James Ohrenschall",James,,Ohrenschall,,,1,D,1,Rep,HD-012
8501,"Debbie Smith",Debbie,,Smith,,,1,D,2,Sen,SD-013
8502,"Moises Denis",Moises,,Denis,,Mo,1,D,2,Sen,SD-002
8506,"Maggie Carlton",Maggie,,Carlton,,,1,D,1,Rep,HD-014
8508,"Ruben Kihuen",Ruben,,Kihuen,,,1,D,2,Sen,SD-010
8510,"Richard Segerblom",Richard,,Segerblom,,Tick,1,D,2,Sen,SD-003
8512,"Don Gustavson",Don,,Gustavson,,,2,R,2,Sen,SD-014
8513,"Ellen Spiegel",Ellen,,Spiegel,,,1,D,1,Rep,HD-020
8515,"Kelvin Atkinson",Kelvin,,Atkinson,,,1,D,2,Sen,SD-004
8518,"Pete Goicoechea",Pete,,Goicoechea,,,2,R,2,Sen,SD-019
8519,"Harvey Munford",Harvey,J.,Munford,,,1,D,1,Rep,HD-006
8525,"Joyce Woodhouse",Joyce,,Woodhouse,,,1,D,2,Sen,SD-005
8563,"David Parks",David,,Parks,,,1,D,2,Sen,SD-007
8570,"Elliot Anderson",Elliot,T.,Anderson,,,1,D,1,Rep,HD-015
8608,"Committee of the Whole",,,,,,0,,2,Sen,
12093,"Ben Kieckhefer",Ben,,Kieckhefer,,,2,R,2,Sen,SD-016
12094,"Richard Carrillo",Richard,,Carrillo,,,1,D,1,Rep,HD-018
12095,"Randy Kirner",Randy,,Kirner,,,2,R,1,Rep,HD-026
12184,"Legislative Operations and Elections",,,,,,0,,1,Rep,
12199,"John Ellison",John,,Ellison,,,2,R,1,Rep,HD-033
12200,"Ira Hansen",Ira,,Hansen,,,2,R,1,Rep,HD-032
12204,"Olivia Diaz",Olivia,,Diaz,,,1,D,1,Rep,HD-011
12205,"Patrick Hickey",Patrick,,Hickey,,Pat,2,R,1,Rep,HD-025
12209,"Teresa Benitez-Thompson",Teresa,,Benitez-Thompson,,,1,D,1,Rep,HD-027
12211,"Irene Adams",Irene,Bustamante,Adams,,,1,D,1,Rep,HD-042
12212,"Scott Hammond",Scott,,Hammond,,,2,R,2,Sen,SD-018
12213,"Dina Neal",Dina,,Neal,,,1,D,1,Rep,HD-007
12249,"Greg Brower",Greg,,Brower,,,2,R,2,Sen,SD-015
12251,"Michael Roberson",Michael,,Roberson,,,2,R,2,Sen,SD-020
15152,"Michele Fiore",Michele,,Fiore,,,2,R,1,Rep,HD-004
15153,"James Oscarson",James,,Oscarson,,,1,D,1,Rep,HD-036
15874,"Paul Anderson",Paul,,Anderson,,,2,R,1,Rep,HD-013
15875,"Michael Sprinkle",Michael,,Sprinkle,,,1,D,1,Rep,HD-030
15876,"Heidi Swank",Heidi,,Swank,,,1,D,1,Rep,HD-016
15877,"Jim Wheeler",Jim,,Wheeler,,,2,R,1,Rep,HD-039
15878,"Aaron Ford",Aaron,D.,Ford,,,1,D,2,Sen,SD-011
15881,"Patricia Spearman",Patricia,,Spearman,,Pat,1,D,2,Sen,SD-001
16028,"Tyrone Thompson",Tyrone,,Thompson,,,1,D,1,Rep,HD-017
16041,"Committee of the Whole",,,,,,0,,1,Rep,
16404,"Victoria Dooling",Victoria,,Dooling,,Vicki,2,R,1,Rep,HD-041
17444,"Robin Titus",Robin,L.,Titus,,,2,R,1,Rep,HD-038
17445,"Becky Harris",Becky,,Harris,,,2,R,2,Sen,SD-009
17446,"Jill Dickman",Jill,,Dickman,,,2,R,1,Rep,HD-031
17447,"Victoria Seaman",Victoria,,Seaman,,,2,R,1,Rep,HD-034
17511,"Nelson Araujo",Nelson,,Araujo,,,1,D,1,Rep,HD-003
17513,"Amber Joiner",Amber,,Joiner,,,1,D,1,Rep,
17514,"Brent Jones",Brent,A.,Jones,,,2,R,1,Rep,HD-035
17515,"Christopher Edwards",Christopher,,Edwards,,Chris,2,R,1,Rep,HD-019
17516,"David Gardner",David,M.,Gardner,,,2,R,1,Rep,HD-009
17517,"Derek Armstrong",Derek,W.,Armstrong,,,2,R,1,Rep,HD-021
17518,"Edgar Flores",Edgar,,Flores,,,1,D,1,Rep,HD-028
17519,"Erven Nelson",Erven,,Nelson,,Erv,2,R,1,Rep,HD-005
17520,"Glenn Trowbridge",Glenn,,Trowbridge,,,2,R,1,Rep,
17521,"John Moore",John,,Moore,,,2,R,1,Rep,HD-008
17522,"Philip O'Neill",Philip,,O'Neill,,"P. K.",2,R,1,Rep,HD-008
17523,"Shelly Shelton",Shelly,M.,Shelton,,,2,R,1,Rep,HD-010
17524,"Stephen Silberkraus",Stephen,,Silberkraus,,,2,R,1,Rep,HD-029
17525,"Patricia Farley",Patricia,,Farley,,,2,R,2,Sen,SD-008
17526,"Mark Lipparelli",Mark,,Lipparelli,,,2,R,2,Sen,
